,CASE_STATUS,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE
1976652,CERTIFIED,computer programmer analyst,Y,59654.0,2013.0,new jersey
1940842,CERTIFIED,programmer analyst,Y,67371.0,2013.0,washington
1292930,CERTIFIED,programmer analyst,Y,96845.0,2014.0,california
2298966,CERTIFIED,computer programmer analyst,Y,54766.0,2012.0,georgia
222087,WITHDRAWN,computer programmer,N,68682.0,2016.0,california
1587309,CERTIFIED,programmer analyst,Y,54288.0,2014.0,massachusetts
1481918,CERTIFIED,programmer analyst,Y,56597.0,2014.0,new york
1558822,CERTIFIED,software engineer - cs (optum),Y,54400.0,2014.0,arizona
1633822,CERTIFIED,programmer analyst,Y,44408.0,2014.0,florida
1909494,CERTIFIED,programmer analyst,Y,67662.0,2013.0,new york
172032,CERTIFIED,computer systems analysts,Y,71032.0,2016.0,florida
317503,CERTIFIED,programmer analyst,N,63877.0,2016.0,new jersey
1446799,CERTIFIED,programmer analyst,Y,52770.0,2014.0,new jersey
2137203,CERTIFIED,programmer analyst,Y,61464.0,2013.0,wisconsin
1985440,CERTIFIED,computer specialist/system support and development,Y,60798.0,2013.0,new jersey
862954,CERTIFIED,software engineer,Y,63315.0,2015.0,texas
185679,CERTIFIED,programmer analyst advanced,N,69500.0,2016.0,illinois
217666,CERTIFIED,programmer analyst,N,58739.0,2016.0,massachusetts
2332889,WITHDRAWN,programmer analyst,Y,46488.0,2012.0,texas
1279540,CERTIFIED-WITHDRAWN,software engineer,Y,100984.0,2014.0,california
1794580,CERTIFIED,staff software engineer,Y,133328.0,2013.0,california
2601171,CERTIFIED,programmer analyst,Y,86258.0,2012.0,georgia
1403224,CERTIFIED,software engineer,Y,56014.0,2014.0,georgia
1666251,CERTIFIED,computer systems analyst,Y,77626.0,2014.0,new york
1194804,CERTIFIED,programmer analyst,Y,72010.0,2015.0,new jersey
867696,CERTIFIED,software developer,Y,61422.0,2015.0,new jersey
365812,CERTIFIED,advisory software engineer,Y,120349.0,2016.0,california
797982,CERTIFIED,programmer analyst,Y,75046.0,2015.0,california
2257899,CERTIFIED,programmer analyst,Y,63440.0,2012.0,tennessee
416165,CERTIFIED,software engineer,Y,102357.0,2016.0,california
717962,CERTIFIED,sr. software engineer,Y,129355.0,2015.0,new york
924970,CERTIFIED-WITHDRAWN,computer system analyst,Y,57096.0,2015.0,maryland
1528534,CERTIFIED,software developer,Y,80746.0,2014.0,california
2717695,DENIED,programmer analyst,Y,58739.0,2011.0,ohio
1576464,CERTIFIED,programmer analyst,Y,52770.0,2014.0,new jersey
756120,CERTIFIED,software engineer 2,Y,98790.0,2015.0,california
2712023,CERTIFIED,programmer analyst,Y,64979.0,2011.0,washington
2629115,CERTIFIED,software developer,Y,66560.0,2012.0,colorado
